type,value,image,attribution
key,default,link.png,https://www.flaticon.com/authors/freepik
key,home,homepage.png,https://www.flaticon.com/authors/freepik
key,interview,conversation.png,https://www.flaticon.com/authors/freepik
pattern,linkedin.com,linkedin.png,https://www.flaticon.com/authors/freepik
pattern,facebook.com,facebook.png,https://www.flaticon.com/authors/smashicons
pattern,vk.com,vk.png,https://www.flaticon.com/authors/freepik
pattern,medium.com,medium.png,https://www.flaticon.com/authors/freepik
pattern,instagram.com,instagram.png,https://www.flaticon.com/authors/freepik
pattern,twitter.com,twitter.png,https://www.flaticon.com/authors/freepik
pattern,wikipedia.org,wikipedia.png,https://www.flaticon.com/authors/freepik
pattern,clinicaltrials.gov,clinical-trials.png,https://clinicaltrials.gov